item,score,total_occ,preferred_occ
yellow wage,0.2222222222222222,9,2
junior noise,0.3,10,3
preferred downloads,1.0,10,10
enormous disagreement,0.75,8,6
operational laptop,0.8,10,8
Turkish variable,0.4,10,4
likely questionnaire,0.7142857142857143,7,5
western symposium,0.7777777777777778,9,7
manual chance,0.1,10,1
acute monster,0.4,10,4
comprehensive embryo,0.3,10,3
peaceful physics,0.4,10,4
North battlefield,0.6363636363636364,11,7
heavy rite,0.3333333333333333,9,3
manual spite,0.25,8,2
dependent fax,0.375,8,3
thick campaigner,0.4,10,4
armed invoice,0.125,8,1
false storage,0.625,8,5
affordable planting,0.7777777777777778,9,7
statistical broadcaster,0.5555555555555556,9,5
Japanese woodland,0.875,8,7
unusual glance,1.0,8,8
registered struggle,0.3333333333333333,9,3
favourite involvement,0.5,10,5
simple trilogy,0.875,8,7
coastal lorry,0.3333333333333333,9,3
sustainable precaution,0.7777777777777778,9,7
stable gospel,0.5555555555555556,9,5
Spanish compromise,0.6666666666666666,9,6
left minimum,0.1111111111111111,9,1
careful lottery,0.3333333333333333,9,3
electrical vocabulary,0.5555555555555556,9,5
interested conjunction,0.3333333333333333,9,3
vertical volcano,0.4,10,4
provincial dead,0.1111111111111111,9,1
provincial surgery,0.8,10,8
subsequent shelf,0.4444444444444444,9,4
vocal privilege,0.7777777777777778,9,7
peaceful tribunal,0.6666666666666666,9,6
generic calf,0.7,10,7
part-time deployment,0.7777777777777778,9,7
crucial crap,0.4444444444444444,9,4
solar confrontation,0.625,8,5
diverse visibility,0.3333333333333333,9,3
partial simplicity,0.5,10,5
appropriate outbreak,0.5,10,5
adjacent invitation,0.5,10,5
perfect newcomer,0.8571428571428571,7,6
experienced narrative,0.6,10,6
western rehabilitation,0.7,10,7
rare cavalry,0.3,10,3
interactive boat,0.5555555555555556,9,5
eligible sailing,0.2,10,2
front clue,0.2222222222222222,9,2
unlikely ski,0.1,10,1
weekly flag,0.4444444444444444,9,4
unique calf,0.6,10,6
unusual expert,0.8888888888888888,9,8
printed corner,0.6,10,6
angry freedom,0.25,8,2
universal tunnel,0.3,10,3
terrorist moisture,0.0,10,0
necessary reef,0.5555555555555556,9,5
democratic pilot,0.7,10,7
violent Scot,0.375,8,3
identical spam,0.6,10,6
capable coat,0.1111111111111111,9,1
left memorial,0.5555555555555556,9,5
chief extinction,0.5,10,5
compatible poisoning,0.375,8,3
Russian membrane,0.125,8,1
official pottery,0.8,10,8
false archbishop,0.4444444444444444,9,4
active knee,0.5,10,5
tropical refusal,0.0,9,0
electric finalist,0.5555555555555556,9,5
oral college,0.0,9,0
digital citation,0.7,10,7
sustainable king,0.625,8,5
ideal similarity,0.6666666666666666,9,6
extensive ticket,0.7777777777777778,9,7
short enthusiasm,0.5,10,5
exciting hurricane,0.75,8,6
private tablet,0.875,8,7
dry entrant,0.5,10,5
preliminary commencement,0.6,10,6
weak demo,0.5714285714285714,7,4
brilliant politics,1.0,9,9
notable army,0.8,10,8
enormous grain,0.5,10,5
future T-shirt,0.5555555555555556,9,5
major laser,0.5555555555555556,9,5
yellow proximity,0.2,10,2
urban repayment,0.5555555555555556,9,5
voluntary tourism,0.8,10,8
superb pride,0.5714285714285714,7,4
raw spectacle,0.9,10,9
mental gravel,0.1,10,1
registered wage,0.6,10,6
terrible wrestler,0.8571428571428571,7,6
logical feeling,0.5555555555555556,9,5
on-line transmitter,1.0,10,10
printed everyone,0.0,9,0
urban grammar,0.6666666666666666,9,6
institutional ocean,0.0,7,0
natural proximity,0.8888888888888888,9,8
exceptional momentum,0.8,10,8
southern ale,0.8,10,8
electric hostility,0.5555555555555556,9,5
prestigious termination,0.6666666666666666,9,6
outstanding nephew,0.875,8,7
pure rape,0.1111111111111111,9,1
crucial programmer,0.7,10,7
integral assault,0.75,8,6
severe tier,0.6,10,6
naval climb,0.1111111111111111,9,1
giant closing,0.6666666666666666,9,6
on-line broadband,0.875,8,7
substantial licensing,0.7,10,7
twin inheritance,0.6,10,6
cultural rowing,0.1111111111111111,9,1
minimum packet,0.6666666666666666,9,6
artificial blow,0.6666666666666666,9,6
fascinating insurer,0.625,8,5
commercial playoff,1.0,8,8
advanced breakdown,0.9,10,9
violent activation,0.7,10,7
historic packaging,0.6,10,6
mobile abbey,0.2,10,2
outer dirt,0.5,10,5
efficient reliance,0.5,10,5
logical cinema,0.4,10,4
minimum vendor,0.375,8,3
ill understanding,0.5555555555555556,9,5
famous care,0.6,10,6
true paperback,0.8888888888888888,9,8
raw cinema,0.5555555555555556,9,5
basic hydrogen,0.5,10,5
affordable dynamics,0.4,10,4
fixed T-shirt,0.6,10,6
audio witch,0.0,9,0
residential horizon,0.2222222222222222,9,2
Australian mosque,0.625,8,5
historic syndrome,0.5555555555555556,9,5
direct borough,0.7,10,7
opposite battery,0.5,10,5
on-line brass,0.0,10,0
eligible vice,0.125,8,1
silent liner,0.4444444444444444,9,4
parliamentary variant,0.6666666666666666,9,6
negative concert,0.1,10,1
ready runner,0.5555555555555556,9,5
weak text-decoration,0.4444444444444444,9,4
dual fool,0.3333333333333333,9,3
fat critique,0.5,10,5
adequate journal,0.8,10,8
sensitive prevalence,0.3333333333333333,9,3
voluntary balcony,0.0,9,0
flexible shareholder,0.8,10,8
thin institute,0.3,10,3
red degree,0.3333333333333333,9,3
on-line storyline,0.625,8,5
so-called referee,0.6666666666666666,9,6
specified danger,0.8888888888888888,9,8
straight spelling,0.6666666666666666,9,6
open labour,0.4444444444444444,9,4
administrative observer,1.0,9,9
dual fear,0.5555555555555556,9,5
median tag,0.4444444444444444,9,4
global orchestra,0.625,8,5
secondary tonne,0.1111111111111111,9,1
prime jacket,0.375,8,3
Islamic alphabet,0.7777777777777778,9,7
conservative conduct,0.7,10,7
sole patience,0.3,10,3
civilian timetable,0.75,8,6
optical riot,0.1111111111111111,9,1
vulnerable century,0.6666666666666666,9,6
inclusive nut,0.4,10,4
audio bunch,0.125,8,1
technological bunch,0.7,10,7
gentle poison,0.7,10,7
useful conditioning,0.7,10,7
Democratic co-ordinator,0.875,8,7
improved rationale,0.75,8,6
prominent security,1.0,9,9
rear shareholder,0.3333333333333333,9,3
soft contamination,0.0,8,0
organic commander,0.2857142857142857,7,2
left satisfaction,0.0,8,0
terrible bike,0.8,10,8
architectural coin,0.2222222222222222,9,2
free stripe,0.2222222222222222,9,2
cool debt,0.625,8,5
intensive sink,0.2222222222222222,9,2
steep contestant,0.3333333333333333,9,3
lucky termination,0.5,10,5
inclusive receiver,0.5555555555555556,9,5
realistic gig,0.42857142857142855,7,3
visible lab,0.8,10,8
junior dial,0.125,8,1
careful taste,0.5,8,4
sad archaeology,0.0,9,0
powerful casino,0.6,10,6
rough subscriber,0.2222222222222222,9,2
exact parking,0.7,10,7
Jewish puzzle,0.8888888888888888,9,8
sorry dam,0.2222222222222222,9,2
Welsh stall,0.625,8,5
opposite manor,0.4,10,4
improved patience,0.875,8,7
mobile earning,0.2,10,2
adequate gym,0.8888888888888888,9,8
funny cooking,0.4444444444444444,9,4
informal highway,0.5,8,4
linear analyst,0.7777777777777778,9,7
brown dvd,0.4444444444444444,9,4
wealthy showcase,0.5,10,5
huge sculptor,0.6666666666666666,9,6
crucial labor,0.75,8,6
sexual presenter,0.7777777777777778,9,7
tall antiquity,0.1,10,1
specified liquid,0.9,10,9
British url,0.5,8,4
fictional bolt,0.25,8,2
close punishment,0.5,8,4
outstanding checklist,0.8888888888888888,9,8
financial grandfather,0.4,10,4
slow entrepreneur,0.8,10,8
sexual holder,0.0,9,0
able premium,0.4444444444444444,9,4
equivalent firewall,0.4,10,4
online throat,0.0,10,0
strict download,0.6,10,6
dual smell,0.2,10,2
sudden kitchen,0.1,10,1
easy rehearsal,1.0,9,9
fixed captain,0.5555555555555556,9,5
mass microphone,0.3333333333333333,9,3
terrorist powder,0.4444444444444444,9,4
federal pixel,0.2,10,2
progressive luck,0.6,10,6
slight norm,0.5,10,5
typical negligence,1.0,9,9
useful mercy,0.5555555555555556,9,5
Asian void,0.2,10,2
technological emission,0.6,10,6
grand obstacle,0.8,10,8
charitable aftermath,0.4,10,4
adequate pump,0.9,10,9
retail female,0.2,10,2
gentle lung,0.1111111111111111,9,1
minimum slip,0.8,10,8
South sandwich,0.1,10,1
twin illustration,0.8888888888888888,9,8
charitable king,0.9,10,9
preferred marketing,0.8888888888888888,9,8
geographical cure,0.2,10,2
affordable gun,0.8,10,8
lead apparatus,0.8,10,8
yellow vice,0.2222222222222222,9,2
superior parish,0.625,8,5
official aviation,0.9,10,9
planned coast,0.3,10,3
expensive eligibility,0.8888888888888888,9,8
disabled picture,0.3333333333333333,9,3
sexual cheese,0.0,10,0
environmental piano,0.1111111111111111,9,1
evil bowl,0.375,8,3
close enjoyment,0.5,10,5
full refuge,0.6,10,6
funny neighborhood,0.8,10,8
increased motorway,0.5,10,5
adverse intensity,0.6666666666666666,9,6
provincial evacuation,0.8888888888888888,9,8
joint continuity,0.8,10,8
increased gland,0.375,8,3
peaceful increase,0.5555555555555556,9,5
flat professional,0.5,10,5
intensive bowel,0.5,8,4
positive tenure,0.8888888888888888,9,8
mental anthology,0.5,10,5
plastic imprisonment,0.5555555555555556,9,5
abstract neck,0.3333333333333333,9,3
confident salvation,0.5555555555555556,9,5
remote motivation,0.5555555555555556,9,5
broad recorder,0.5,10,5
vocal printer,0.3,10,3
daily statue,0.4444444444444444,9,4
sudden landowner,0.5,10,5
light demo,0.8888888888888888,9,8
statutory township,0.5,10,5
fat raid,0.3333333333333333,9,3
sophisticated cry,0.3,10,3
remote stair,0.5,8,4
Democratic sediment,0.2,10,2
helpful transmitter,0.5555555555555556,9,5
forthcoming runner,0.5555555555555556,9,5
false rifle,0.3,10,3
happy mythology,0.7,10,7
mathematical etc,0.0,9,0
Jewish warfare,0.6,10,6
secure noun,0.3,10,3
honest mouth,0.5,8,4
raw verification,0.5555555555555556,9,5
voluntary verification,0.9,10,9
wrong penny,0.7777777777777778,9,7
Swedish offence,0.42857142857142855,7,3
liberal musical,0.5555555555555556,9,5
suitable commencement,0.7,10,7
late bowling,0.5,10,5
Iraqi sword,0.8,10,8
exclusive aviation,0.6666666666666666,9,6
green cooperation,0.3,10,3
comic pregnancy,0.7,10,7
likely interface,0.8,10,8
provincial campaigning,0.8,10,8
dramatic bread,0.3333333333333333,9,3
federal compartment,0.5555555555555556,9,5
fellow making,0.1,10,1
indigenous tumor,0.4444444444444444,9,4
outdoor gain,0.125,8,1
extra remain,0.3,10,3
former bibliography,0.7777777777777778,9,7
Islamic plasma,0.25,8,2
wide username,0.2,10,2
surprising sickness,1.0,10,10
pregnant fly,0.8,10,8
Soviet basket,0.3,10,3
vertical sculptor,0.4,10,4
adverse wisdom,0.4444444444444444,9,4
long-term passing,0.4,10,4
appropriate imprisonment,0.625,8,5
parliamentary tea,0.5555555555555556,9,5
influential evening,0.4,5,2
specified discount,1.0,9,9
stable beat,0.6666666666666666,9,6
appropriate lamb,0.2,10,2
mathematical biscuit,0.1,10,1
daily liberal,0.5555555555555556,9,5
commercial middle,0.25,8,2
poor connector,1.0,9,9
written encouragement,0.9,10,9
qualified herb,0.4444444444444444,9,4
democratic desktop,0.4,10,4
fictional outcome,0.8,10,8
holy toll,0.25,8,2
golden identity,0.5555555555555556,9,5
amateur cross,0.4444444444444444,9,4
controversial popularity,0.8,10,8
systematic dock,0.375,8,3
dramatic lump,0.5,10,5
digital rainfall,0.5,10,5
partial dynasty,0.5454545454545454,11,6
Polish retention,0.3333333333333333,9,3
corresponding infant,0.5,4,2
realistic feasibility,0.9,10,9
double enterprise,0.6,10,6
racial glove,0.0,10,0
mass conduct,1.0,9,9
systematic custody,0.5,10,5
extraordinary lender,0.875,8,7
dual pension,0.6,10,6
spiritual chess,0.125,8,1
next text-decoration,0.2,10,2
willing larva,0.3,10,3
comic panic,0.5,10,5
environmental south,0.2222222222222222,9,2
basic nationalist,0.3333333333333333,9,3
dual surprise,0.4444444444444444,9,4
royal electronics,0.75,8,6
dominant conclusion,0.7777777777777778,9,7
ethnic courtyard,0.6,10,6
relevant van,0.5,8,4
thin departure,0.3,10,3
friendly integer,0.25,8,2
northern alarm,0.375,8,3
senior poisoning,0.3,10,3
technical postcard,0.5,10,5
musical accusation,0.14285714285714285,7,1
rough click,0.4,10,4
cultural soundtrack,0.5,10,5
concrete pregnancy,0.0,10,0
agricultural eating,0.4,10,4
extended encryption,0.875,8,7
suitable warfare,0.5555555555555556,9,5
fundamental patrol,0.5555555555555556,9,5
plain quota,0.375,8,3
brilliant coordinator,1.0,8,8
so-called temptation,0.8,10,8
smooth novelist,0.7777777777777778,9,7
sustainable occasion,0.7777777777777778,9,7
operational climb,0.6666666666666666,9,6
random missionary,0.6666666666666666,9,6
controversial pond,0.3,10,3
square argument,0.4,10,4
flat skeleton,0.4,10,4
Conservative prison,0.8888888888888888,9,8
West leaflet,0.1111111111111111,9,1
sharp queue,0.2857142857142857,7,2
actual pasture,0.6,10,6
integrated raid,0.6666666666666666,9,6
adverse cereal,0.2222222222222222,9,2
permanent coast,0.3,10,3
Western jungle,0.8,10,8
initial policeman,0.3333333333333333,9,3
right eating,0.3333333333333333,9,3
graphic standing,0.6,10,6
sufficient paperback,0.5,10,5
magnificent diplomat,0.6666666666666666,9,6
sound congratulation,0.6,10,6
planned asthma,0.3,10,3
integral curiosity,0.3,10,3
Israeli inside,0.0,8,0
criminal resident,0.625,8,5
intense fraud,0.625,8,5
helpful microphone,0.4,10,4
applicable human,0.5555555555555556,9,5
stable gameplay,0.8,10,8
theoretical campaigning,0.6,10,6
human midfield,0.1,10,1
secure geometry,0.5555555555555556,9,5
thin prosecutor,0.5,10,5
racial derivative,0.75,8,6
golden trainer,0.4444444444444444,9,4
Christian gravel,0.0,10,0
precise consuming,0.625,8,5
accurate sitcom,0.8888888888888888,9,8
solid invasion,0.5555555555555556,9,5
official lorry,0.4444444444444444,9,4
electric relevance,0.5,8,4
thin civilian,0.6,10,6
leading forest,0.25,8,2
mobile moth,0.5,10,5
back genius,0.25,8,2
tropical banker,0.6,10,6
Arab hierarchy,0.9,10,9
busy creativity,0.25,8,2
gentle captain,1.0,9,9
charitable flooding,0.3333333333333333,9,3
necessary contest,0.8888888888888888,9,8
acceptable motorist,0.625,8,5
practical bottom,0.375,8,3
wealthy cable,0.2,10,2
electric mythology,0.125,8,1
open thumb,0.2,10,2
distinctive activist,0.9,10,9
defensive plot,0.6,10,6
secure co-ordinator,0.7,10,7
dedicated landowner,1.0,8,8
pregnant laptop,0.0,9,0
married aim,0.2222222222222222,9,2
prestigious bearing,1.0,9,9
practical inning,0.3333333333333333,9,3
printed tactic,0.5,10,5
molecular pyramid,0.6,10,6
ill heading,0.4,10,4
organisational junk,0.375,8,3
classical foreigner,0.625,8,5
North icon,0.3333333333333333,9,3
residential coach,0.4,10,4
open seeker,0.3,10,3
wonderful void,0.5555555555555556,9,5
theoretical shade,0.6,10,6
basic tin,0.6,10,6
heavy logo,0.5555555555555556,9,5
strategic portrait,0.4444444444444444,9,4
distinctive primary,0.25,8,2
dry rank,0.4,10,4
competitive undergraduate,0.7,10,7
fellow angle,0.14285714285714285,7,1
right administrator,0.9,10,9
charitable prescription,0.625,8,5
Welsh bracket,0.625,8,5
rapid editorial,0.6666666666666666,9,6
patient protest,0.7,10,7
eligible murder,0.125,8,1
rough username,0.5714285714285714,7,4
industrial replacement,0.6666666666666666,9,6
thin reflection,0.5,10,5
remaining classification,0.7,10,7
specific synopsis,0.7777777777777778,9,7
statutory tank,0.5,10,5
intensive fitness,0.8571428571428571,7,6
rare gender,0.3,10,3
empty left,0.3,10,3
magnificent sin,0.5555555555555556,9,5
quiet candle,0.2,10,2
considerable commune,0.5714285714285714,7,4
selected minister,0.7,10,7
terrible registry,0.7,10,7
economic tram,0.4444444444444444,9,4
plastic supplement,0.7,10,7
golden rival,0.6666666666666666,9,6
animal prosperity,0.5,10,5
least layer,0.3,10,3
respective courtyard,0.7,10,7
South comic,0.3333333333333333,9,3
consistent secretary,0.8,10,8
African nomination,0.7777777777777778,9,7
manual cult,0.2,10,2
yellow certainty,0.1,10,1
elderly log,0.42857142857142855,7,3
ready evening,0.125,8,1
distant extreme,0.1111111111111111,9,1
naval dependence,0.6,10,6
adverse regard,0.4,10,4
military earth,0.1111111111111111,9,1
systematic vessel,0.3,10,3
reasonable raid,0.3333333333333333,9,3
mainstream palace,0.3,10,3
national blast,0.3333333333333333,9,3
proud node,0.1,10,1
minor carpet,0.2222222222222222,9,2
peaceful bomb,0.2,10,2
crucial bowel,0.3,10,3
institutional wheat,0.2,10,2
raw opponent,0.4,10,4
surprising infringement,0.7,10,7
global bat,0.3,10,3
collective downtown,0.4444444444444444,9,4
sweet leadership,0.4444444444444444,9,4
printed cage,0.2222222222222222,9,2
vertical calorie,0.0,10,0
cool zoo,0.7777777777777778,9,7
willing explanation,0.8,10,8
dominant arrival,0.625,8,5
statistical revolt,0.3333333333333333,9,3
statutory surfing,0.2,10,2
northern commencement,0.4,10,4
critical bottle,0.3,10,3
rough courage,0.7,10,7
formal elite,0.6666666666666666,9,6
right pity,0.2,10,2
necessary handful,0.5,8,4
realistic kick,0.8,10,8
logical ankle,0.0,10,0
electrical trust,0.3,10,3
presidential councillor,0.8,10,8
annual particular,0.3,10,3
sure leak,0.5,10,5
nuclear cheque,0.4444444444444444,9,4
enjoyable army,0.2222222222222222,9,2
collaborative logic,0.6666666666666666,9,6
molecular supporter,0.4444444444444444,9,4
acceptable consolidation,0.7,10,7
abstract bassist,0.7,10,7
false refusal,0.3333333333333333,9,3
light donor,0.5,8,4
physical kitchen,0.4444444444444444,9,4
skilled manifestation,0.5555555555555556,9,5
commercial lady,0.5555555555555556,9,5
illegal tear,0.3,10,3
recent spite,0.7777777777777778,9,7
narrow soldier,0.5555555555555556,9,5
blind volume,0.1,10,1
biological fellow,0.25,8,2
joint pick,0.5555555555555556,9,5
written row,0.6,10,6
difficult conservative,0.5,10,5
respective drain,0.5555555555555556,9,5
proud plane,0.2,10,2
dangerous dividend,0.6,10,6
romantic provider,0.375,8,3
vulnerable manifestation,0.6,10,6
sick handbook,0.3,10,3
subject current,0.3333333333333333,9,3
classical bee,0.2,10,2
upper deed,0.3333333333333333,9,3
African pier,0.875,8,7
capable top,0.7,10,7
related shoulder,0.2222222222222222,9,2
structural permit,0.7777777777777778,9,7
nuclear cash,0.25,8,2
available planting,0.6666666666666666,9,6
least morality,0.5555555555555556,9,5
hidden revolt,0.6,10,6
creative wood,0.4,10,4
sure visa,0.6666666666666666,9,6
static breach,0.5555555555555556,9,5
universal yesterday,0.2222222222222222,9,2
genetic occasion,0.3333333333333333,9,3
correct tent,0.6,10,6
mechanical genus,0.7,10,7
guilty volunteer,0.6666666666666666,9,6
collective array,0.625,8,5
tough grazing,0.8,10,8
medieval qualification,0.8,10,8
oral rabbit,0.1,10,1
visual manga,0.5,10,5
amazing disclosure,1.0,10,10
collective cheese,0.3,10,3
functional inability,0.3333333333333333,9,3
thin desk,0.8,10,8
fixed chromosome,0.6666666666666666,9,6
linear neighbor,0.375,8,3
regional siege,0.7777777777777778,9,7
thin hire,0.3,10,3
expensive abundance,0.5555555555555556,9,5
compulsory artifact,0.4444444444444444,9,4
powerful disability,0.6666666666666666,9,6
warm remainder,0.2222222222222222,9,2
Turkish ambulance,0.625,8,5
presidential gene,0.4,10,4
married cotton,0.1111111111111111,9,1
acute worker,0.7,10,7
romantic nominee,0.625,8,5
solid grazing,0.5,8,4
successful genome,0.5555555555555556,9,5
partial weather,0.4444444444444444,9,4
least native,1.0,10,10
frequent glory,0.6666666666666666,9,6
affordable summit,0.7,10,7
intense bolt,0.8,10,8
primary banana,0.4,10,4
distinct dismissal,0.5555555555555556,9,5
extended performer,0.6,10,6
sexual bat,0.5,10,5
cold recovery,0.5,8,4
dominant honor,0.4,10,4
personal survivor,0.6,10,6
married shaft,0.09090909090909091,11,1
creative heel,0.4,10,4
intellectual settlement,0.6666666666666666,9,6
slow discount,0.8,10,8
defensive trout,0.2222222222222222,9,2
integrated finale,0.6666666666666666,9,6
interactive wit,0.625,8,5
affordable minute,0.1111111111111111,9,1
romantic catalogue,0.7777777777777778,9,7
evil rest,0.1111111111111111,9,1
logical workplace,0.8888888888888888,9,8
sure stamp,0.4444444444444444,9,4
academic son,0.2,10,2
royal slogan,0.7777777777777778,9,7
current globe,0.5,10,5
linear earth,0.3333333333333333,9,3
serious villager,0.6,10,6
compatible effort,0.5,10,5
liberal mortar,0.3,10,3
compulsory herb,0.2222222222222222,9,2
conservative tomato,0.0,10,0
close ribbon,0.2222222222222222,9,2
blind dedication,1.0,10,10
exclusive quiz,0.7777777777777778,9,7
selected puppet,0.7,10,7
voluntary cookie,0.125,8,1
least basin,0.0,8,0
fascinating nickname,0.9,10,9
regional alloy,0.4,10,4
architectural veteran,0.8,10,8
statistical server,0.6666666666666666,9,6
criminal fool,0.8888888888888888,9,8
bright ranking,0.0,9,0
regulatory staircase,0.5555555555555556,9,5
external tune,0.5,8,4
specified monkey,0.3333333333333333,9,3
on-line tab,0.8,10,8
vital flooding,0.6666666666666666,9,6
popular tender,0.5,8,4
mathematical syndrome,0.375,8,3
distant fee,0.5,8,4
vertical doll,0.2222222222222222,9,2
lovely steam,0.7777777777777778,9,7
indigenous acquisition,0.7,10,7
eastern desire,0.7,10,7
bold millennium,0.2222222222222222,9,2
equal imaging,0.4,10,4
rural hazard,0.9,10,9
North analogy,0.3,10,3
partial appetite,0.5,10,5
reliable parliament,1.0,8,8
slow arthritis,0.5,8,4
sophisticated concert,0.7777777777777778,9,7
sustainable forefront,0.7,10,7
Norwegian elimination,0.625,8,5
static week,0.4,10,4
subsequent shoulder,0.5,10,5
constant welfare,1.0,7,7
outdoor wagon,0.9,10,9
accessible laptop,0.7,10,7
critical scenery,0.4,10,4
mobile meditation,0.3333333333333333,9,3
remaining governance,0.4,10,4
heavy outcome,0.8,10,8
brown exam,0.2222222222222222,9,2
old pdf,0.7777777777777778,9,7
elderly heel,0.125,8,1
sole pill,0.2,10,2
Asian militia,1.0,8,8
tough trunk,0.9,10,9
legendary opening,0.8,10,8
extended glove,0.7777777777777778,9,7
numerous remit,0.4,10,4
responsible joint,0.3,10,3
human screenplay,0.4444444444444444,9,4
rare oxygen,0.3333333333333333,9,3
urban bell,0.6,10,6
plastic citizenship,0.2,10,2
musical sexuality,0.4444444444444444,9,4
defensive cone,0.5,10,5
likely tail,0.3333333333333333,9,3
intense runway,0.5,8,4
entire enough,0.0,9,0
chronic refurbishment,0.7,10,7
Western statue,0.7777777777777778,9,7
executive certainty,1.0,4,4
adequate walker,0.7777777777777778,9,7
tropical prose,0.4444444444444444,9,4
temporary rice,0.0,9,0
applicable butter,0.1,10,1
fair fatigue,0.5,6,3
angry religion,0.4444444444444444,9,4
sick gardening,0.1,10,1
social wake,0.5555555555555556,9,5
strategic mate,0.5,8,4
Iraqi terrace,0.75,8,6
geographical norm,0.8,10,8
permanent youngster,0.3,10,3
regional vowel,0.2222222222222222,9,2
armed noun,0.0,10,0
plastic threshold,0.4,10,4
coastal taxpayer,0.3333333333333333,9,3
inclusive hole,0.4444444444444444,9,4
successful mainland,0.4,10,4
Canadian trouble,0.7,10,7
static blessing,0.5,10,5
superior filing,0.7777777777777778,9,7
slight hydrogen,0.3333333333333333,9,3
Norwegian assassination,0.6,10,6
revolutionary bench,0.2222222222222222,9,2
prominent nationalism,0.8,10,8
Democratic reinforcement,0.8,10,8
prior ring,0.4444444444444444,9,4
fat charter,0.5555555555555556,9,5
confident protection,0.8,10,8
appropriate alumnus,0.5,6,3
principal joke,0.375,8,3
limited suicide,0.2,10,2
foreign artery,0.5555555555555556,9,5
mechanical spectator,0.7142857142857143,7,5
willing strip,0.4,10,4
medieval audit,0.3333333333333333,9,3
ethnic bow,0.5,10,5
Norwegian activation,0.125,8,1
familiar brush,1.0,10,10
responsible corn,0.0,10,0
legislative village,0.5,10,5
Irish cab,0.9,10,9
flat fax,0.3333333333333333,9,3
healthy letter,0.4444444444444444,9,4
responsible chair,0.2,10,2
prior nightclub,0.375,8,3
defensive excuse,1.0,9,9
dependent log,0.5714285714285714,7,4
separate liaison,0.7777777777777778,9,7
Turkish out,0.0,10,0
cultural bundle,0.2222222222222222,9,2
quick nationalist,0.8,10,8
electronic magistrate,0.4444444444444444,9,4
civilian blue,0.2,10,2
linear wheat,0.0,10,0
minimal boat,0.1111111111111111,9,1
proud meantime,0.1,10,1
illegal chief,0.4,10,4
extensive steam,0.9,10,9
detailed metre,0.6666666666666666,9,6
sound jacket,0.4444444444444444,9,4
urban hut,0.9,10,9
Danish acid,0.4,10,4
electronic doctorate,0.5,8,4
Indian viewing,0.2222222222222222,9,2
Chinese maximum,0.0,9,0
spiritual retention,0.7,10,7
electoral sport,0.4444444444444444,9,4
British dust,0.6,10,6
on-line strain,0.5,10,5
yellow novelist,0.25,8,2
amateur grief,0.5,6,3
exact golf,0.0,10,0
outdoor asteroid,0.3333333333333333,9,3
Danish suitability,0.7,10,7
internal breeding,0.5,10,5
pleasant intersection,0.6,10,6
minimum mate,0.0,9,0
compulsory darkness,0.6,10,6
French dioxide,0.2222222222222222,9,2
solar truth,0.1111111111111111,9,1
violent antiquity,0.3333333333333333,9,3
black robbery,0.3333333333333333,9,3
fixed discharge,0.5,8,4
wet mainland,0.4444444444444444,9,4
blind bug,0.8571428571428571,7,6
well-known frontier,0.6,10,6
mental sunlight,0.5,10,5
preferred couple,0.8888888888888888,9,8
quick variable,0.5,10,5
light disposal,0.8571428571428571,7,6
angry sleeve,0.125,8,1
necessary arthritis,0.1,10,1
nice technician,0.75,8,6
domestic vein,0.5555555555555556,9,5
well-known reach,0.3333333333333333,9,3
Scottish sleeve,0.75,8,6
integral landlord,0.5,10,5
median vacuum,0.5555555555555556,9,5
mainstream racing,0.6666666666666666,9,6
compatible prediction,0.7,10,7
mature metaphor,0.5555555555555556,9,5
enjoyable backup,0.2222222222222222,9,2
secondary rebel,0.4,10,4
maximum cord,0.5555555555555556,9,5
continued pedestrian,0.125,8,1
equivalent poem,0.4444444444444444,9,4
raw ritual,0.6666666666666666,9,6
online corruption,0.7777777777777778,9,7
cold spin,0.4444444444444444,9,4
skilled dream,0.2222222222222222,9,2
video audit,0.7,10,7
surprising nickname,1.0,8,8
medieval mayor,0.5,10,5
tiny guidance,0.1111111111111111,9,1
mobile delegation,0.7,10,7
rich directive,0.2222222222222222,9,2
adverse ink,0.4444444444444444,9,4
minimum campaigner,0.5,10,5
sustainable honor,0.9,10,9
Soviet perfection,0.6666666666666666,9,6
remarkable cream,0.5,10,5
willing single,0.8888888888888888,9,8
collaborative bar,0.4,10,4
married dioxide,0.0,9,0
artistic orbit,0.375,8,3
dual congratulation,0.6666666666666666,9,6
eastern tonight,0.0,9,0
technological red,0.5555555555555556,9,5
administrative lamb,0.375,8,3
assistant algebra,0.09090909090909091,11,1
acceptable correspondent,0.7,10,7
structural planner,1.0,9,9
sharp heaven,0.0,9,0
responsible shape,0.8,10,8
front charm,0.3,10,3
dedicated bush,0.4444444444444444,9,4
exceptional herd,0.5555555555555556,9,5
Swedish search,0.4,10,4
empty terminus,0.4,10,4
close ballet,0.3333333333333333,9,3
optional gardener,0.125,8,1
extraordinary mining,0.8,10,8
ready vote,0.4444444444444444,9,4
estimated stable,0.125,8,1
agricultural freelance,0.4444444444444444,9,4
criminal blade,0.7,10,7
flexible referendum,0.6666666666666666,9,6
appropriate fin,0.3,10,3
optical showcase,0.7777777777777778,9,7
genetic dissolution,0.7777777777777778,9,7
democratic smoker,0.4,10,4
wild shortage,0.3333333333333333,9,3
opposite assassination,0.1,10,1
equal queen,0.25,8,2
contemporary buying,0.6,10,6
positive appendix,0.2222222222222222,9,2
